query_id,subject_id,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen,qcovs,significance
631879,84947,28.358,469,267,15,2907,3337,1002,1439,9.86e-23,108.0,5875,2799,19.0,LOW (possible homolog)
631889,89135,38.384,2488,1354,64,920,3319,3929,6325,0.0,1170.0,4454,12469,67.0,MEDIUM (likely homolog)
631892,89135,39.476,3283,1739,72,3414,6623,7142,10249,0.0,1510.0,7020,12469,93.0,MEDIUM (likely homolog)
632047,82165,35.401,548,304,15,21,542,1616,2139,1.18e-64,244.0,2567,3554,34.0,LOW (possible homolog)
632054,89135,50.809,2226,972,34,2222,4403,10218,12364,0.0,1799.0,4905,12469,86.0,HIGH (likely ortholog)
632068,89135,43.764,4538,2305,90,2180,6613,3924,8318,0.0,2890.0,12937,12469,80.0,MEDIUM (likely homolog)
632072,89135,62.899,11385,3906,98,6666,17933,1286,12469,0.0,12963.0,21166,12469,93.0,HIGH (likely ortholog)
632082,89135,52.314,4062,1773,54,2100,6126,3925,7857,0.0,3605.0,7319,12469,90.0,HIGH (likely ortholog)
632088,89135,51.921,4216,1878,63,10705,14835,8219,12370,0.0,3531.0,20900,12469,68.0,HIGH (likely ortholog)
632099,89134,60.603,1825,671,16,443,2248,1432,3227,0.0,2017.0,4283,4140,78.0,HIGH (likely ortholog)
632232,82165,58.565,1658,631,23,2572,4214,535,2151,0.0,1683.0,4798,3554,81.0,HIGH (likely ortholog)
